_q,n,funded_pct,ci_lo,ci_hi,mean_poc,med_income
I1,16062,61.0,60.3,61.8,35.9,56435.0
I2,16061,55.2,54.4,56.0,31.1,66679.0
I3,16062,59.7,58.9,60.4,32.9,76472.0
I4,16061,61.5,60.7,62.2,43.2,88766.0
I5,16062,51.3,50.6,52.1,42.4,110416.0
