exp_q,n,funded_pct,ci_lo,ci_hi,mean_poc,med_income
Q1,16062,53.1,52.4,53.9,32.2,71667.0
Q2,16061,53.5,52.7,54.3,33.5,76945.0
Q3,16062,58.4,57.7,59.2,37.8,79357.0
Q4,16061,59.0,58.2,59.7,40.9,78958.0
Q5,16062,64.7,63.9,65.4,41.0,74207.5
